Name,daily total trading volume,Prices,Volume,Ecology,Hyperlink,Project Description,Official Hyperlink List,Details,Founded Date,Funders,Related News Links,Twitter Hyperlink,Followers,Following,Significant Events,Similar Projects,AIScore,Explains
HeliumHNT,,2.888,4957603.887,Cosmos,https://www.rootdata.com/Projects/detail/Celestia?k=MTk4NA%3D%3D,Modular consensus and data availability network,"https://celestia.org/, https://x.com/CelestiaOrg, https://www.linkedin.com/company/celestiaorg/, https://t.me/CelestiaCommunity, https://github.com/celestiaorg, https://docs.celestia.org/, https://blog.celestia.org/, https://coinmarketcap.com/currencies/celestia/, https://www.coingecko.com/en/coins/celestia, https://forum.celestia.org/","Celestia is a modular blockchain network whose goal is to build a scalable data availability layer, enabling the next generation of scalable blockchain architectures - modular blockchains. Celestia scales by decoupling execution from consensus and introducing a new primitive, data availability sampling. It's built to enable anyone to easily deploy their own blockchain with minimal overhead.",LazyLedger,"Mustafa Al-Bassam, John Adler, Ismail Khoffi, Nick White, Jacob Arluck, Ekram Ahmed, Jeremy Sklaroff, Yaz Khoury, Polychain, Bain Capital Crypto, Binance Labs, Coinbase Ventures, OKX Ventures, HashKey Capital, The Spartan Group, Delphi Digital, IOSG Ventures, Maven 11, Galaxy, Protocol Labs, Placeholder, Blockchain Capital, eGirl Capital, Figment Capital, Modular Cloud",,,281.85 K,14,"Oct 31, 2023 - Celestia was live on mainnet | Oct 20, 2022 - Celestia raised $ 55 M in Series A round | May 25, 2022 - Celestia was live on testnet | Jun 15, 2021 - LazyLedger rebranded to Celestia | Mar 04, 2021 - Celestia raised $ 1.5 M in Seed round","#0G, #Avail, #0xVM, #Sunrise, #DILL, #Dymension, #Omni Network, #Eclipse",,
Internet Computer / DfinityICP,,579.82,595994.19,,https://www.rootdata.com/Projects/detail/THORChain?k=MjUz,Decentralized Liquidity Network,"https://thorchain.org/, https://x.com/THORChain, https://www.linkedin.com/company/thorchain-protocol/, https://t.me/thorchain_org, https://github.com/thorchain, https://github.com/thorchain/Resources/tree/master/Whitepapers/THORChain/whitepaper-en.md, https://medium.com/thorchain, https://coinmarketcap.com/currencies/thorchain/, https://defillama.com/protocol/thorchain","THORChain is a decentralized cross-chain AMM trading protocol, created by a group of anonymous cryptocurrency developers at Binance's Hackathon in 2018. Its aim is to decentralize cryptocurrency liquidity via a network of public THORNodes and ecosystem products. Access to its native and cross-chain liquidity is open to any person, product, or institution.",2018,"Delphi Digital, Multicoin Capital, Zero Age Ventures, THORSwap, Lends",,https://x.com/THORChain,247.58 K,1656,"Jul 22, 2021 - THORChain losed $ 8 M in hack | Apr 13, 2021 - THORChain was live on mainnet","#Ethereum, #Solana, #Conflux, #Aleo, #Anoma Network, #PlatON, #Concordium, #NYM",0.67569256,"{'feat0': {'feat': 'CDLEVENINGDOJISTAR', 'data': [0.0]}, 'feat1': {'feat': 'CDLSHOOTINGSTAR', 'data': [0.0]}, 'feat2': {'feat': 'CDLMORNINGDOJISTAR', 'data': [0.0]}, 'feat3': {'feat': 'CDL2CROWS', 'data': [0.0]}, 'feat4': {'feat': 'Z_score', 'data': [-0.8479168783823732]}, 'feat5': {'feat': 'ULTOSC', 'data': [0.5867672841165034]}, 'feat6': {'feat': 'Month', 'data': [12.0]}, 'feat7': {'feat': 'Hourly', 'data': [0.0]}, 'feat8': {'feat': 'RSI', 'data': [0.595149853342876]}, 'feat9': {'feat': 'boll', 'data': [0.1954465951842899]}}"
Immutable XIMX,,3.732,1244180.7,Cosmos,https://www.rootdata.com/Projects/detail/Injective?k=Mjc3,Layer1 Blockchain Optimized for DeFi Applications,"https://injective.com/, https://x.com/injective, https://t.me/joininjective, https://github.com/InjectiveLabs, https://chain.injective.network/, https://medium.com/injective-labs, https://coinmarketcap.com/currencies/injective/, https://link3.to/injective","Injective is an interoperable layer one blockchain powering next-generation DeFi applications. It uniquely provides plug-and-play financial infrastructure primitives, such as a high-performance on-chain decentralized exchange infrastructure, decentralized bridges, oracles, and a composable smart contract layer with CosmWasm.",2018,"Eric Chen, Albert Chon, Mirza Uddin, Noah Axler, Christopher Choi, Bojan Angjelkoski, Pantera Capital, Jump Crypto, Binance Labs, Hashed, CMS Holdings, BlockTower Capital, Bitscale Capital, BH Digital, QCP Capital, Axia8 Ventures, BoxOne Ventures, QCP Soteria, Mark Cuban, Bitlink Capital, Astar, Galxe, Burnt (XION), Symbiosis Finance, Hydro Protocol",,https://x.com/injective,532.99 K,490,"Jan 25, 2023 - Injective establishes a $150 million eco-fund | Aug 10, 2022 - Injective raised $ 40 M | Nov 16, 2021 - Injective was live on mainnet | Apr 21, 2021 - Injective raised $ 10 M | Oct 20, 2020 - Injective raised $ 3.6 M in Public Sale round","#Vega Protocol, #Nibiru, #Ethereum, #Solana, #Agoric, #Tabi, #Dymension, #Berachain",0.5761823,"{'feat0': {'feat': 'CDLUPSIDEGAP2CROWS', 'data': [0.0]}, 'feat1': {'feat': 'CDL3WHITESOLDIERS', 'data': [0.0]}, 'feat2': {'feat': 'CDLHANGINGMAN', 'data': [0.0]}, 'feat3': {'feat': 'MA_Ratio_short', 'data': [0.0114059818716584]}, 'feat4': {'feat': 'CDLDRAGONFLYDOJI', 'data': [1.0]}, 'feat5': {'feat': 'CDLMORNINGSTAR', 'data': [0.0]}, 'feat6': {'feat': 'Hourly', 'data': [0.0]}, 'feat7': {'feat': 'Month', 'data': [12.0]}, 'feat8': {'feat': 'PR_MA_Ratio', 'data': [0.0760565959979843]}, 'feat9': {'feat': 'pct_change', 'data': [0.0]}}"
InjectiveINJ,,0.8027,24731060.19,Solana,https://www.rootdata.com/Projects/detail/Sonic?k=MTIxMjc%3D,Gaming Chain on Solana,"https://www.sonic.game/, https://x.com/SonicSVM, https://link3.to/mirrorworld","Sonic is a Gaming Chain on Solana and proposes the first expansion architecture HyperGrid, which can help game developers efficiently process and manage game status, logic and events. Sonic is 100% compatible with all EVM smart contracts and has a native game engine, providing game developers with comprehensive On-Chain game development components.",2024,"Chris Zhu, Republic Capital, Bitkraft Ventures, Galaxy Interactive, OKX Ventures, Mirana Ventures, Mask Network, Infinity Ventures Crypto, LD Capital, Big Brain Holdings, Alchemy Ventures, Sanctor Capital, Sky9 Capital, W3GG, LucidBlue Ventures, Avocado DAO, Bas1s Ventures, Mirror World",,https://x.com/SonicSVM,276.89 K,924,"Jun 18, 2024 - Sonic raised $ 12 M in Series A round | Apr 12, 2023 - Sonic completed a Pre-A round | Mar 11, 2022 - Sonic raised $ 4 M in Seed round","#Forte, #Tabi, #Game Space, #Enjin, #COMBO, #XAI, #Joyride Games, #Planetarium Labs",0.652464,"{'feat0': {'feat': 'CDL3BLACKCROWS', 'data': [0.0]}, 'feat1': {'feat': 'CDLHANGINGMAN', 'data': [0.0]}, 'feat2': {'feat': 'CDLEVENINGDOJISTAR', 'data': [0.0]}, 'feat3': {'feat': 'CDLDARKCLOUDCOVER', 'data': [0.0]}, 'feat4': {'feat': 'CDLABANDONEDBABY', 'data': [0.0]}, 'feat5': {'feat': 'CDLDRAGONFLYDOJI', 'data': [0.0]}, 'feat6': {'feat': 'CDLGRAVESTONEDOJI', 'data': [0.0]}, 'feat7': {'feat': 'pct_change', 'data': [-0.0028392958546279]}, 'feat8': {'feat': 'MA_Ratio', 'data': [-0.016685994460029]}, 'feat9': {'feat': 'PR_MA_Ratio', 'data': [0.0730216926367315]}}"
JasmyJASMY,,0.218,508101815.2,,https://www.rootdata.com/Projects/detail/Hedera?k=NTE%3D,Decentralized public network,"https://www.hedera.com/, https://x.com/hedera, https://t.me/hederahashgraph, https://github.com/hashgraph, https://www.hedera.com/papers, https://hedera.com/blog, https://coinmarketcap.com/currencies/hedera/, https://defillama.com/chain/Hedera","Hedera is designed for fast, fair, and secure applications to take advantage of the efficiency of Hashgraph on a decentralized, public network that can be trusted. By limiting the number of nodes involved in key functions such as timestamping and transaction ordering, Hedera Hashgraph is able to quickly achieve finality, reducing the possibility that changes to the state of transactions might be made later.",2015,"Leemon Baird, Mance Harmon, Alex Page, Charles Adkins, Andrew Yeoh, Zenobia Godschalk, BlockTower Capital, Continue Capital, DHVC, Eterna Capital","https://thedefiant.io/hedera-teams-up-with-saudi-investment-ministry-on-usd250m-venture-studio, https://cointelegraph.com/news/hedera-and-algorand-partner-to-develop-decentralized-wallet-recovery-system, https://www.coindesk.com/sponsored-content/embracing-web3-hedera-leading-the-way-to-the-future-of-enterprise-integration/, https://www.m6labs.co/p/blockchain-hashgraph-rise-hedera, https://www.coindesk.com/business/2023/03/09/hedera-turns-off-services-after-network-irregularities/?utm_medium=referral&utm_source=feedly&utm_campaign=headlines, https://www.coindesk.com/business/2023/02/07/dell-joins-hedera-governing-council-to-explore-developing-decentralized-applications/?utm_medium=referral&utm_source=feedly&utm_campaign=headlines, https://messari.io/article/state-of-hedera-q4-2022, https://www.coindesk.com/business/2022/04/07/hbar-foundation-commits-250m-to-drawing-metaverse-apps-to-hedera/",https://x.com/hedera,355.76 K,31,"Sep 17, 2019 - Hedera was live on mainnet | Aug 01, 2018 - Hedera raised $ 100 M in funding round","#Ethereum, #Solana, #Aleo, #ZetaChain, #Internet Computer / Dfinity, #Algorand, #Celo, #Espresso Systems",,
JupiterJUP,,,,,https://www.rootdata.com/Projects/detail/Vechain?k=NTY%3D,Smart contract platform,"https://www.vechain.org/, https://x.com/vechainofficial?lang=en, https://t.me/vechain_official_english, https://github.com/vechain, https://www.vechain.org/whitepaper/#bit_65sv8, https://coinmarketcap.com/currencies/vechain/, https://www.coingecko.com/en/coins/vechain","VeChain is a smart contract platform focused on providing supply chain management solutions for enterprises and integrating with Internet of Things (IoT) devices to facilitate the process. Its goal is to use distributed ledger technology to streamline these operations and information flow for complex supply chains. VeChain Token (VET) and VeChainThor Energy (VTHO) are the two tokens on the VeChain network. The former is used to transfer value across VeChain's network, while the latter is used to power smart contract transactions as energy or ""gas."" The VeChain platform aims to give authorized stakeholders a comprehensive view of critical information related to a product and its business processes (e.g. storage, transit, supply and authenticity) as well as increase market transparency.",2015,"Lu Yang, IOSG Ventures, Fenbushi Capital, Fundamental Labs, PwC, ChainFunder, Nubila Network, Flashwire",,https://x.com/vechainofficial?lang=en,616.38 K,708,"Jun 30, 2018 - Vechain was live on mainnet | Aug 01, 2017 - Vechain completed an Angel round | Jan 26, 2016 - Vechain completed a Seed round","#Ethereum, #Solana, #Conflux, #PlatON, #Aleo, #Anoma Network, #Concordium, #NYM",,
KaiaSwap,,,,,https://www.rootdata.com/Projects/detail/Cosmos?k=Mjc%3D,The Internet of Blockchains,"https://cosmos.network/, https://x.com/cosmos, https://t.me/cosmosproject, https://github.com/cosmos, https://cosmos.network/resources/whitepaper, https://blog.cosmos.network/, https://coinmarketcap.com/currencies/cosmos/, https://forum.cosmos.network/","Cosmos is a rapidly expanding ecosystem of independent, interconnected blockchains built using developer-friendly application components and connected via the groundbreaking IBC (Inter-Blockchain Communication) protocol. With Cosmos, developers can choose to construct entirely autonomous, application-specific blockchains that can easily interconnect.",2014,"Jae Kwon, Claire Hough, Harriet Cao, Paradigm, Pantera Capital, Dragonfly, Hashed, IOSG Ventures, Placeholder, Standard Crypto, 1confirmation, Big Brain Holdings, Tribe Capital, Outlier Ventures, Continue Capital, KR1, Inflection, DHVC, Bain Capital Ventures, Forte",,https://x.com/cosmos,558.84 K,303,"Mar 16, 2019 - Cosmos raised $ 9 M in Series A round | Mar 14, 2019 - Cosmos was live on mainnet","#Ethereum, #Solana, #Conflux, #Aleo, #Anoma Network, #PlatON, #Concordium, #NYM",,
KaspaKAS,,,,,https://www.rootdata.com/Projects/detail/Bitget?k=MzkzMg%3D%3D,Cryptocurrency exchange,"https://www.bitget.com/, https://x.com/bitgetglobal, https://www.linkedin.com/company/bitget-global/, https://t.me/Bigtet_CN, https://www.coingecko.com/en/coins/bitget-token","Founded in 2018, Bitget is a cryptocurrency exchange and Web3 company. As of early 2024, Bitget provides services to more than 100 countries and regions around the world, helping more than 25 million users achieve smart transactions through leading trading solutions such as copy trading.",2018,"Gracy Chen, Vugar Usi Zade, Intae Song, Alex Hwang, Dragonfly, LK Venture, 8 Decimal Capital, Collinstar Capital, Circle Fund, MX Capital, 安澜资本, 锐驰资本, Bitget Wallet, Morph, Bitget Wallet",,https://x.com/bitgetglobal,1.42 M,733,"Apr 10, 2023 - Bitget Launched $100M Web3 Fund | Apr 04, 2023 - Bitget raised $ 10 M in strategic financing | Jul 20, 2020 - Bitget raised $ 10 M in Series B round | Dec 08, 2018 - Bitget raised $ 10 M in funding round","#Bullish, #KuCoin, #Coinbase, #Blockchain.com, #Bakkt, #Binance, #Kraken, #Gemini",,
KuCoinKCS,,,,,https://www.rootdata.com/Projects/detail/PoPP?k=NzY1MA%3D%3D,Group-centric Web3 contents co-creation application,"https://popp.club/, https://x.com/Hi_PoPPOfficial, https://medium.com/@poppassistant","PoPP uses blockchain technology to build personal metaverse social relationships among users. It allows everyone to issue programmable SBT and NFT to carry their social, organizational, and equity credentials and works. This enables those who contribute to the community to benefit, and helps users discover more valuable content on the platform.",2022,"Sam Dhesi, Foresight Ventures",https://www.coinspeaker.com/web3-social-startup-pop-planet-has-completed-a-4-million-angel-round-of-financing-with-foresight-venture-as-the-lead-investor/,,83.08 K,177,"May 25, 2023 - PoPP raised $ 4 M in Angel round","#Decent.land, #ISME, #eth.cd, #Firefly, #InfinetX, #Realchat, #Synap, #Lens Protocol",,
LidoLDO,,,,Solana,https://www.rootdata.com/Projects/detail/Bonk?k=OTYxNg%3D%3D,Solana-based meme-inspired cryptocurrency,"https://x.com/bonk_inu, https://t.me/Official_Bonk_Inu, https://medium.com/@bonk_inu, https://coinmarketcap.com/currencies/bonk1/",Bonk is a Solana-based meme-inspired cryptocurrency.,2017,Nom,"https://beincrypto.com/binance-listing-resulted-bonk-rally/, https://decrypt.co/209906/solana-devs-bonk-airdrop-worth-300-last-christmas-now-worth-500000, https://www.coindesk.com/markets/2023/12/14/meme-coin-bonk-spikes-40-on-coinbase-listing/, https://www.coindesk.com/markets/2023/12/06/solana-hype-bumps-bonk-to-third-largest-dog-token-behind-doge-shib/",https://x.com/bonk_inu,325.94 K,275,,"#Dogecoin, #PEPE, #Memeland, #FLOKI, #SLERF, #Wen, #Moonshot, #BorpaToken",0.716666,"{'feat0': {'feat': 'CDLGRAVESTONEDOJI', 'data': [0.0]}, 'feat1': {'feat': 'CDLMARUBOZU', 'data': [0.0]}, 'feat2': {'feat': 'CDL3WHITESOLDIERS', 'data': [0.0]}, 'feat3': {'feat': 'ULTOSC', 'data': [0.5258000982678014]}, 'feat4': {'feat': 'CDLDRAGONFLYDOJI', 'data': [0.0]}, 'feat5': {'feat': 'CDLUPSIDEGAP2CROWS', 'data': [0.0]}, 'feat6': {'feat': 'CDL3BLACKCROWS', 'data': [0.0]}, 'feat7': {'feat': 'Month', 'data': [12.0]}, 'feat8': {'feat': 'zsVol', 'data': [-0.5113128355047846]}, 'feat9': {'feat': 'MA_Ratio', 'data': [-0.0255231368984151]}}"
ChainlinkLINK,,0.498,216595.03,,https://www.rootdata.com/Projects/detail/Sei%20Network?k=Mjc5MA%3D%3D,Layer 1 blockchain for digital assets exchange,"https://www.sei.io/, https://x.com/SeiNetwork, https://docs.seinetwork.io/, https://blog.seinetwork.io/, https://coinmarketcap.com/currencies/sei/, https://defillama.com/chain/Sei, https://link3.to/sei","Sei is a general purpose, open-source Layer 1 blockchain specialized for the exchange of digital assets. Sei addresses the exchange scalability problem by building the first Layer 1 specialized for trading, optimizing every layer of the stack to offer the best infrastructure for the exchange of digital assets.",2022,"Jayendra Jog, Jeff Feng, Justin Barlow, Pei Chen, Vesper YANG, Phillip Kassab, Xingchen Liao, Multicoin Capital, Coinbase Ventures, OKX Ventures, Foresight Ventures, GSR, Hypersphere Ventures, Bixin Ventures, No Limit Holdings, IOBC Capital, Jump Capital, Cogitent Ventures, Flow Traders, Wagmi Ventures, Circle Ventures, Distributed Global, Asymmetric","https://thedefiant.io/news/defi/yei-finance-pushes-sei-network-tvl-above-usd60-million, https://techcrunch.com/2024/03/13/blockchain-startup-sei-labs-creates-an-interesting-solution-to-make-ethereum-faster/, https://www.dlnews.com/articles/defi/sei-bets-on-evm-parallelisation-to-lure-ethereum-developers/, https://ld-capital.medium.com/ld-capital-sei-accelerated-development-parallel-evm-narrative-overlaid-with-positive-operations-987e443c1314?source=rss-53c5cb826534------2, https://thedefiant.io/sei-surges-to-all-time-high-as-parallelized-layer-1s-rally, https://www.theblock.co/post/265130/sei-blockchain-to-add-ethereum-virtual-machine-support-in-v2-upgrade, https://www.coindesk.com/markets/2023/08/15/sei-mainnet-is-live-after-testnet-sees-more-than-75m-wallets-created/?utm_medium=referral&utm_source=feedly&utm_campaign=headlines, https://www.coingecko.com/learn/what-is-sei-network",https://x.com/SeiNetwork,690.61 K,21,"Nov 15, 2023 - Sei Network completed a strategic financing | Aug 15, 2023 - Sei Network was live on mainnet | Apr 12, 2023 - Sei raised an additional $50 million for its ecosystem fund | Apr 11, 2023 - Sei Network raised $ 30 M in strategic financing | Sep 28, 2022 - Sei Network launched $50M ecosystem fund","#Monad, #Artela, #Canto, #Cipherem, #Ethereum, #Solana, #Conflux, #Aleo",0.66092104,"{'feat0': {'feat': 'CDLRISEFALL3METHODS', 'data': [0.0]}, 'feat1': {'feat': 'CDLCOUNTERATTACK', 'data': [0.0]}, 'feat2': {'feat': 'Month', 'data': [12.0]}, 'feat3': {'feat': 'CDLSHOOTINGSTAR', 'data': [0.0]}, 'feat4': {'feat': 'PR_MA_Ratio', 'data': [0.0827024710755735]}, 'feat5': {'feat': 'CDLMARUBOZU', 'data': [0.0]}, 'feat6': {'feat': 'Hourly', 'data': [0.0]}, 'feat7': {'feat': 'ULTOSC', 'data': [0.5391860600939342]}, 'feat8': {'feat': 'MA_Ratio_short', 'data': [0.0321722747090624]}, 'feat9': {'feat': 'Z_score', 'data': [-0.8923872905320552]}}"
LitecoinLTC,,276,130.86075,"Ethereum, Polygon, BNB Chain",https://www.rootdata.com/Projects/detail/The%20Graph?k=MzA2,Decentralized protocol for indexing and querying blockchain data,"https://thegraph.com/, https://x.com/graphprotocol, https://t.me/GraphProtocol, https://github.com/graphprotocol, https://thegraph.com/docs/, https://snapshot.org/#/graphprotocol.eth, https://coinmarketcap.com/currencies/the-graph/","The Graph is a protocol for indexing and querying data from blockchains. Anyone can build and publish open APIs, called subgraphs, making data easily accessible. The Graph analyzes and gathers blockchain data before storing it into various indices, called Subgraphs, allowing any application to send a query to its protocol and receive an immediate response. The Graph's native cryptocurrency, GRT, is used to ensure the integrity of the data secured within its network. Any user, whether they are indexers, curators or delegators, must stake GRT to perform their roles, and in return, earn fees from the network.",2018,"Brandon Ramirez, Jannis Pohlmann, Yaniv Tal, Eva Beylin, Reem Chahrour, Nick Hansen, Julien Genestoux, Multicoin Capital, Tiger Global, Coinbase Ventures, The Spartan Group, GSR, Hack VC, Framework Ventures, Fenbushi Capital, Lemniscap, Fabric Ventures, Bitscale Capital, CoinFund, ParaFi Capital, Digital Currency Group, GenBlock Capital, D1 Ventures, Sommelier, RedStone, Messari, StreamingFast",,https://x.com/graphprotocol,336.93 K,1897,"Feb 18, 2022 - The Graph launches $250 million Web3 ecosystem fund | Jan 21, 2022 - The Graph raised $ 50 M | Dec 18, 2020 - The Graph was live on mainnet | Oct 28, 2020 - The Graph raised $ 12 M in Public Sale round | Jun 30, 2020 - The Graph raised $ 5 M in Series A round","#QuickNode, #Alchemy, #Covalent, #Ankr, #Infura, #Chainbase, #Pocket Network, #Moralis",0.3027594,"{'feat0': {'feat': 'CDLEVENINGSTAR', 'data': [0.0]}, 'feat1': {'feat': 'CDLGRAVESTONEDOJI', 'data': [0.0]}, 'feat2': {'feat': 'Month', 'data': [12.0]}, 'feat3': {'feat': 'zsVol', 'data': [0.946106621309987]}, 'feat4': {'feat': 'ULTOSC', 'data': [0.4912648871441357]}, 'feat5': {'feat': 'Hourly', 'data': [0.0]}, 'feat6': {'feat': 'MA_Ratio', 'data': [0.1138078125159072]}, 'feat7': {'feat': 'Z_score', 'data': [-1.253073992545069]}, 'feat8': {'feat': 'RSI', 'data': [0.5436667138717953]}, 'feat9': {'feat': 'boll', 'data': [0.2140711722286823]}}"
Mantle NetworkMNT,,,,"Ethereum, BNB Chain, Solana",https://www.rootdata.com/Projects/detail/Pyth%20Network?k=MjA2MA%3D%3D,Oracle Solution,"https://pyth.network/, https://x.com/PythNetwork, https://www.linkedin.com/company/pyth-network/, https://t.me/pythchinese, https://pyth.network/whitepaper-zh.pdf, https://pyth.network/blog, https://coinmarketcap.com/currencies/pyth-network/","Pyth Network is a next-generation price oracle solution that aims to make valuable financial market data available on-chain for projects and protocols, as well as for the general public, via blockchain technology. The network aggregates first-party price data from a broad group of over 70 trusted data providers and publishes it for consumption by smart contracts and other on- or off-chain applications.",2021,"Michael Cahill, Ciaran Cronin, Jayant Krishnamurthy, Multicoin Capital, Delphi Digital, Borderless Capital, Alliance DAO, Wintermute, CMT Digital, HTX Ventures, Castle Island, Republic Capital, Ryze Labs, GBV Capital, KuCoin Labs, Distributed Global, Bodhi Ventures, Two Sigma Ventures","https://www.theblock.co/post/276447/pyth-network-token-airdrop-second-phase?utm_source=feedly&utm_medium=rss, https://www.gate.io/learn/articles/the-spotify-of-the-crypto-world/1046, https://www.coindesk.com/tech/2023/12/05/pyth-oracle-network-brings-industry-heavyweights-into-governance-post-airdrop/, https://decrypt.co/207719/solana-token-pyth-pumps-77-million-airdrop, https://www.coindesk.com/business/2023/11/20/pyth-token-debuts-near-500m-valuation-as-90000-wallets-receive-airdrop/, https://www.coindesk.com/business/2023/11/16/255m-pyth-tokens-to-be-airdropped-to-90k-wallets-next-week/, https://siliconcanals.com/news/business-wire/douro-labs-launches-and-joins-pyth-network-as-core-contributor/, https://www.coindesk.com/business/2022/09/28/market-maker-flowdesk-to-join-with-jump-backed-pyth-network-to-improve-access-to-blockchain-data/",https://x.com/PythNetwork,235.16 K,424,"Aug 26, 2021 - Pyth Network was live on mainnet","#Chainlink, #RedStone, #DIA, #Supra, #API3, #Band Protocol, #SEDA, #ORA",,
Mogaland,,,,,https://www.rootdata.com/Projects/detail/FLOKI?k=OTcxMg%3D%3D,Meme Cryptocurrency,"https://floki.com/, https://x.com/RealFlokiInu, https://docs.floki.com/, https://floki.medium.com/, https://coinmarketcap.com/currencies/floki-inu/","Floki initially started as a meme-coin based on Elon Musk's dog but has evolved to become a community-powered ecosystem that aims to give people control of their finances through four key utility offerings: The Valhalla NFT Metaverse Game, The FlokiFi DeFi ecosystem, The Floki University Crypto Education platform, The FlokiPlaces NFT & Merchandise Marketplace.",2021,"DWF Labs, TokenFi",,,611.31 K,64,"Dec 05, 2023 - FLOKI raised $ 1.25 M in funding round","#Dogecoin, #PEPE, #Memeland, #TOSHI, #SLERF, #Kishu Inu, #Wen, #Ton Fish",,
NEAR ProtocolNEAR,,1.2517,14750673.11,,https://www.rootdata.com/Projects/detail/MANTRA?k=NDI1,RWA L1 blockchain,"https://www.mantrachain.io/, https://x.com/MANTRA_Chain, https://www.linkedin.com/company/mantrachain/, https://t.me/MANTRA_Chain/, https://mantrachain.medium.com/, https://snapshot.org/#/mantra-dao.eth, https://coinmarketcap.com/currencies/mantra/","MANTRA aims to be the first RWA L1 blockchain capable of adherence and enforcement of real world regulatory requirements. By accelerating the adoption of tokenized RWAs, MANTRA has the potential to unlock the $16 trillion RWA economy with a regulatory-ready blockchain. Through MANTRA Chain’s compliant framework, TradFi companies can easily switch to and leverage asset tokenization and blockchain solutions, boosting global RWA growth.",MANTRA DAO,"John Patrick Mullin, Martin Halford, Shorooq Partners, Waterdrip Capital, LD Capital, Kenetic Capital, GenBlock Capital, Hex Trust, Laser Digital, GBV Capital, Moonrock Capital, Mapleblock, Caladan, LK Venture, Master Ventures, Vendetta Capital, GameFi Ventures, 280 Capital, Hex Trust, Octane Finance, Skyrim Finance, Polywrap, EnterDAO, SolChicks, DNFT",,https://x.com/MANTRA_Chain,257.5 K,766,"Mar 19, 2024 - MANTRA raised $ 11 M in funding round","#Centrifuge, #Polymesh, #Ravencoin, #ALLO, #Watr, #Realio Network, #Treasurenet Protocol, #Meta Earth",0.7166241,"{'feat0': {'feat': 'CDLSPINNINGTOP', 'data': [0.0]}, 'feat1': {'feat': 'CDLABANDONEDBABY', 'data': [0.0]}, 'feat2': {'feat': 'CDLDRAGONFLYDOJI', 'data': [0.0]}, 'feat3': {'feat': 'CDLPIERCING', 'data': [0.0]}, 'feat4': {'feat': 'CDLCOUNTERATTACK', 'data': [0.0]}, 'feat5': {'feat': 'CDLDARKCLOUDCOVER', 'data': [0.0]}, 'feat6': {'feat': 'CDLEVENINGSTAR', 'data': [0.0]}, 'feat7': {'feat': 'Hourly', 'data': [0.0]}, 'feat8': {'feat': 'Month', 'data': [12.0]}, 'feat9': {'feat': 'PR_MA_Ratio', 'data': [0.0675048828124938]}}"
NeoNEO,,42.4,601.411,Solana,https://www.rootdata.com/Projects/detail/Jupiter?k=MTAwMDA%3D,DEX Aggregator,"https://jup.ag/, https://x.com/JupiterExchange, https://station.jup.ag/docs, https://station.jup.ag/blog/, https://coinmarketcap.com/currencies/jupiter-ag/, https://defillama.com/protocol/jupiter","Jupiter is a Solana-based DEX aggregator that aggregates liquidity for traders looking for the best possible prices with minimal slippage. Though Jupiter was initially conceived as a swap engine, the protocol has evolved significantly to include a number of different products for different kinds of users such as: Dollar-Cost Averaging (DCA), limit orders, perpetual trading, and, most recently, a launchpad.",2021,"Meow, Ben Chow, SIONG, Ultimate Wallet",,https://x.com/JupiterExchange,419.92 K,197,,"#Blitz, #KriyaDEX, #Kyber Network, #1inch, #dYdX, #Drift, #IntentX, #GMX",0.6815315,"{'feat0': {'feat': 'CDLRISEFALL3METHODS', 'data': [0.0]}, 'feat1': {'feat': 'CDL3BLACKCROWS', 'data': [0.0]}, 'feat2': {'feat': 'CDLDARKCLOUDCOVER', 'data': [0.0]}, 'feat3': {'feat': 'CDLHARAMICROSS', 'data': [0.0]}, 'feat4': {'feat': 'CDLDRAGONFLYDOJI', 'data': [0.0]}, 'feat5': {'feat': 'CDLENGULFING', 'data': [0.0]}, 'feat6': {'feat': 'RSI', 'data': [0.6009388340560751]}, 'feat7': {'feat': 'Hourly', 'data': [0.0]}, 'feat8': {'feat': 'Z_score', 'data': [-0.6640185579652981]}, 'feat9': {'feat': 'boll', 'data': [0.4999999999988554]}}"
NotcoinNOT,,,,,https://www.rootdata.com/Projects/detail/Zeebu?k=OTIyNg%3D%3D,On-chain invoice settlement platform,"https://www.zeebu.com/, https://x.com/zeebuofficial, https://www.linkedin.com/company/zeebuofficial/, https://t.me/ZeebuOfficial, https://coinmarketcap.com/currencies/zeebu/","Zeebu is an on-chain invoice settlement platform for the Telecom Carrier Industry, powered by $ZBU. With their settlement platform and loyalty token, Zeebu aims to revolutionize the telecom carrier industry, empowering telecom carriers with loyalty rewards, streamlined invoice settlements, and enhanced transparency by leveraging blockchain technology.",2023,"Raj Brahmbhatt, Bankai Ventures","https://www.accesswire.com/viewarticle.aspx?id=834301&lang=en, https://chainwire.org/2023/10/28/zeebu-zbu-announces-listing-on-bitforex/, https://news.bitcoin.com/zeebu-secures-25-million-in-presale-funding-for-worlds-first-on-chain-invoice-settlement-platform-for-telecom-carriers/, https://decrypt.co/138576/zeebu-unveils-the-worlds-first-b2b-loyalty-utility-token-for-the-telecom-carrier-industry",https://x.com/zeebuofficial,95.38 K,301,"Sep 07, 2023 - Zeebu raised $ 25 M in funding round","#TaxBit, #Messari, #Flipside Crypto, #Coin Metrics, #CoinGecko, #CoinMarketCap, #Etherscan, #Nansen",,
